City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
344,Hokitika,NZ,-42.72,170.97,53.01,90,100,6.98,overcast clouds
345,Ambulu,ID,-8.35,113.61,74.73,87,89,2.35,overcast clouds
346,Westport,US,41.14,-73.36,66.99,45,1,11.41,clear sky
347,Tchollire,CM,8.4,14.17,76.73,83,36,2.15,scattered clouds
348,Mount Isa,AU,-20.73,139.5,66.2,39,54,6.93,broken clouds
349,Sabang,ID,5.89,95.32,81.16,76,100,11.14,moderate rain
350,Zatoka,UA,46.07,30.47,66.2,93,40,11.18,scattered clouds
351,Nenjiang,CN,49.18,125.22,44.11,94,100,5.23,light rain
352,Kiama,AU,-34.68,150.87,64.99,76,96,11.99,overcast clouds
353,Harwich,GB,51.94,1.28,55.99,79,100,7.0,light rain
354,Praia,CV,14.92,-23.51,80.6,78,75,20.8,broken clouds
355,Lagos,NG,6.58,3.75,76.35,88,33,4.79,scattered clouds
356,Tessalit,ML,20.2,1.01,92.19,25,93,6.13,light rain
357,Samarai,PG,-10.62,150.67,78.03,86,61,15.28,moderate rain
358,Alihe,CN,50.57,123.72,41.77,89,100,4.54,overcast clouds
359,Colares,PT,38.8,-9.45,63.0,72,20,4.7,few clouds
360,Galesong,ID,-5.32,119.37,71.6,83,20,1.12,few clouds
361,Dharmadam,IN,11.78,75.43,75.96,84,89,3.87,overcast clouds
362,Lovozero,RU,68.0,35.01,37.56,89,89,5.48,overcast clouds
363,Isilkul,RU,54.91,71.27,45.59,80,93,13.09,overcast clouds
364,Mineiros,BR,-17.57,-52.55,100.15,10,0,8.3,clear sky
