City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
249,Balabac,PH,82.42,overcast clouds,7.99,117.06,Sing and Swing Lodge
250,Port-Gentil,GA,78.8,scattered clouds,-0.72,8.78,Fengshui Residence
253,Igbaras,PH,79.0,overcast clouds,10.72,122.27,Napulac Refilling Station
255,Los Llanos De Aridane,ES,75.2,few clouds,28.66,-17.92,Valle Aridane
256,Cusuna,HN,82.63,broken clouds,15.85,-85.23,
262,Lompoc,US,84.2,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
266,Namatanai,PG,80.04,light rain,-3.67,152.43,Namatanai Hotel
269,Sarangani,PH,84.36,overcast clouds,5.4,125.46,Ballistic Islet
270,Palpa,PE,81.9,clear sky,-14.53,-75.19,Palpa Lines
271,Bida,NG,77.63,clear sky,9.08,6.02,Royal Suite
272,Saint George,US,84.99,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
274,Waddan,LY,88.21,scattered clouds,29.16,16.14,محل الشريف محمد العايب
275,Revadanda,IN,80.6,haze,18.55,72.93,OYO 22032 P P Motel
277,Tezu,IN,77.65,broken clouds,27.92,96.17,Circuit House
281,Bahia Honda,CU,79.14,light rain,22.9,-83.16,Casa Gualberto - Deysi
282,Pekan,MY,78.8,few clouds,3.48,103.4,Pekan Budget Hotel
289,Kirakira,SB,77.32,clear sky,-10.45,161.92,SanBiz Lodge
292,Chimoio,MZ,75.0,overcast clouds,-19.12,33.48,Predio Livraria Ahmed
294,Seminole,US,78.01,overcast clouds,28.71,-81.21,WHITNEY-WOLCOTT HOUSE ON LAKE CHARM
295,Keningau,MY,75.2,few clouds,5.34,116.16,Sabindo Hotel
299,Minab,IR,87.8,haze,27.15,57.08,فروشگاه موبایل ترکمانی
302,Isla Mujeres,MX,80.6,heavy intensity rain,21.23,-86.73,Hotel La Joya Isla Mujeres
304,Dingle,PH,76.44,light rain,11.0,122.67,Camp Pasica
306,Touros,BR,82.4,overcast clouds,-5.2,-35.46,INN NEW HORIZON
308,Lake City,US,75.99,clear sky,30.19,-82.64,Ramada Limited Lake City
316,Cortez,US,77.0,clear sky,37.35,-108.59,Sand Canyon National 9 Inn
318,Caravelas,BR,80.06,clear sky,-17.71,-39.25,Pousada dos Navegantes
319,San Angelo,US,84.99,clear sky,31.46,-100.44,"Motel 6 San Angelo, TX"
323,Antri,IN,76.44,clear sky,26.06,78.21,Jama masjid antri
328,Tingo Maria,PE,86.0,scattered clouds,-9.29,-76.01,Hospedaje Paraíso
334,Ca Mau,VN,77.49,overcast clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
339,Porto Novo,BJ,80.6,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
347,Tchollire,CM,76.73,scattered clouds,8.4,14.17,"Auberge ""l'amicale"""
349,Sabang,ID,81.16,moderate rain,5.89,95.32,Hotel Citra
354,Praia,CV,80.6,broken clouds,14.92,-23.51,LT Aparthotel
355,Lagos,NG,76.35,scattered clouds,6.58,3.75,
357,Samarai,PG,78.03,moderate rain,-10.62,150.67,Nuli Sapi
361,Dharmadam,IN,75.96,overcast clouds,11.78,75.43,Samudra Homes
365,Mahajanga,MG,78.8,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
366,Dingli,MT,82.4,overcast clouds,35.86,14.38,The Xara Palace Relais & Chateaux
367,Salinopolis,BR,84.04,overcast clouds,-0.61,-47.36,Hotel Salinópolis
368,Cayenne,GF,86.0,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
371,Bathsheba,BB,86.0,few clouds,13.22,-59.52,Atlantis Hotel
374,Cozumel,MX,77.0,moderate rain,20.51,-86.95,Cozumel Palace® All Inclusive Resort
379,Palauig,PH,80.85,overcast clouds,15.44,119.9,Myhousebythesea
